substation_name,latitude,longitude,pnode_match,pnode_id,type
Oak Level,36.82143927,-79.93027797,OAKLEVEL,32412175,LOAD
Oak Ridge,36.72468115,-76.62220275,OAKRIDGE,34885947,LOAD
Oak Ridge,36.72468115,-76.62220275,OAKRIDGE,1305122802,LOAD
Oakwood,36.90978868,-76.2373345,OAKWOOD,34885949,LOAD
Oakwood,36.90978868,-76.2373345,OAKWOOD,34885951,LOAD
Oakwood,36.90978868,-76.2373345,OAKWOOD,34885953,LOAD
Oakwood,36.90978868,-76.2373345,OAKWOOD,34885955,LOAD
Oakwood,36.90978868,-76.2373345,OAKWOOD,34885957,LOAD
Occoquan,38.71315635,-77.26906377,OCCOQUAN,34886337,LOAD
Occoquan,38.71315635,-77.26906377,OCCOQUAN,34886339,LOAD
Occoquan,38.71315635,-77.26906377,OCCOQUAN,119118225,GEN
Occoquan,38.71315635,-77.26906377,OCCOQUAN,1097733899,GEN
Covanta Fairfax Energy,38.69652368,-77.23980488,OGDENMTN,2156116099,GEN
Old Chapel,39.15975987,-78.00807123,OLDCHAPE,5021440,LOAD
Old Chapel,39.15975987,-78.00807123,OLDCHAPE,5021441,LOAD
Old Church,37.63455996,-77.25058771,OLDCHRCH,34885575,LOAD
Old Church,37.63455996,-77.25058771,OLDCHRCH,1107282865,LOAD
Old Church,37.63455996,-77.25058771,OLDCHRCH,1869195619,GEN
Old Church,37.63455996,-77.25058771,OLDCHRCH,2156111019,GEN
Old Church,37.63455996,-77.25058771,OLDCHRCH,2156111613,GEN
Omega DP,36.67050094,-78.81133379,OMEGADP,34885577,LOAD
Opossum Creek,37.3726085,-79.10762812,OPOSSUMC,2156109178,GEN
Opossum Creek,37.3726085,-79.10762812,OPOSSUMC,2156109179,GEN
Otter,37.14295548,-79.28041261,OTTER,61482253,LOAD
Altavista Power Station,37.11776583,-79.27597003,OTTERRIV,34885579,LOAD
Altavista Power Station,37.11776583,-79.27597003,OTTERRIV,34885581,LOAD
Ox,38.72378605,-77.28851676,OX,35010369,EHV
Page,38.6696023,-78.45205357,PAGE,5021451,LOAD
Page,38.6696023,-78.45205357,PAGE,5021452,LOAD
Page,38.6696023,-78.45205357,PAGE,5021453,LOAD
Page,38.6696023,-78.45205357,PAGE,2156108942,LOAD
Fieldale,36.7058555,-79.91481694,PATRIOTC,98369935,LOAD
Paytes DP,38.22622493,-77.83495515,PAYTESDP,34886853,LOAD
Paytes DP,38.22622493,-77.83495515,PAYTESDP,1388605040,LOAD
Peach Grove D.P.,38.38144379,-78.88548045,PEACHGDP,57967581,LOAD
Peak Creek,37.04844348,-80.74781265,PEAKCREE,32412231,LOAD
Peak Creek,37.04844348,-80.74781265,PEAKCREE,32412233,LOAD
