Datacenter URL,Country,City,Datacenter Name
https://www.datacentermap.com/germany/frankfurt/rackspace-frankfurt-1/,germany,frankfurt,rackspace-frankfurt-1
https://www.datacentermap.com/germany/frankfurt/rackspace-frankfurt-2/,germany,frankfurt,rackspace-frankfurt-2
https://www.datacentermap.com/romania/bucharest/radiocom-data-center/,romania,bucharest,radiocom-data-center
https://www.datacentermap.com/germany/nuremberg/ratiokontakt/,germany,nuremberg,ratiokontakt
https://www.datacentermap.com/latvia/riga/raunas-dc/,latvia,riga,raunas-dc
https://www.datacentermap.com/italy/cosenza/real-cloud/,italy,cosenza,real-cloud
https://www.datacentermap.com/italy/pordenone/real-comm/,italy,pordenone,real-comm
https://www.datacentermap.com/germany/berlin/rechenzentrum-am-potsdamer-platz/,germany,berlin,rechenzentrum-am-potsdamer-platz
https://www.datacentermap.com/germany/berlin/rechenzentrum-berlin/,germany,berlin,rechenzentrum-berlin
https://www.datacentermap.com/germany/hassfurt/rechenzentrum-hassfurt/,germany,hassfurt,rechenzentrum-hassfurt
https://www.datacentermap.com/germany/erfurt/rechenzentrum-mitteldeutschland/,germany,erfurt,rechenzentrum-mitteldeutschland
https://www.datacentermap.com/ireland/mullingar/red-admiral-dc-westmeath/,ireland,mullingar,red-admiral-dc-westmeath
https://www.datacentermap.com/spain/zaragoza/redestel/,spain,zaragoza,redestel
https://www.datacentermap.com/finland/mikkeli/regant-mikkeli/,finland,mikkeli,regant-mikkeli
https://www.datacentermap.com/finland/mikkeli/regant-naarajarvi/,finland,mikkeli,regant-naarajarvi
https://www.datacentermap.com/portugal/porto/ren-riba-de-ave/,portugal,porto,ren-riba-de-ave
https://www.datacentermap.com/greece/athens/rentis-data-center/,greece,athens,rentis-data-center
https://www.datacentermap.com/italy/brescia/retelit-brescia-dc/,italy,brescia,retelit-brescia-dc
https://www.datacentermap.com/italy/bari/retelit-dc-bari/,italy,bari,retelit-dc-bari
https://www.datacentermap.com/italy/milan/retelit-milano-dc/,italy,milan,retelit-milano-dc
https://www.datacentermap.com/italy/modena/retelit-modena-dc/,italy,modena,retelit-modena-dc
https://www.datacentermap.com/italy/treviso/retelit-pordenone/,italy,treviso,retelit-pordenone
https://www.datacentermap.com/italy/rome/retelit-roma-letteratura-dc/,italy,rome,retelit-roma-letteratura-dc
https://www.datacentermap.com/italy/rome/retelit-rome-leofreni/,italy,rome,retelit-rome-leofreni
https://www.datacentermap.com/italy/milan/retelit-settimo-milanese/,italy,milan,retelit-settimo-milanese
https://www.datacentermap.com/france/geneva-fr/rges/,france,geneva-fr,rges
https://www.datacentermap.com/germany/mannheim/rheingonheimer-weg-13/,germany,mannheim,rheingonheimer-weg-13
https://www.datacentermap.com/austria/vienna/riz-it/,austria,vienna,riz-it
https://www.datacentermap.com/germany/regensburg/r-kom-ostbayern1/,germany,regensburg,r-kom-ostbayern1
https://www.datacentermap.com/germany/regensburg/r-kom-ostbayern2/,germany,regensburg,r-kom-ostbayern2
https://www.datacentermap.com/germany/regensburg/r-kom-ostbayern3/,germany,regensburg,r-kom-ostbayern3
https://www.datacentermap.com/portugal/porto/rnca-guimares/,portugal,porto,rnca-guimares
https://www.datacentermap.com/sweden/linkoping/rockan-data-center/,sweden,linkoping,rockan-data-center
https://www.datacentermap.com/germany/wuerzburg/rockenstein-wurzburg/,germany,wuerzburg,rockenstein-wurzburg
https://www.datacentermap.com/romania/brasov/romarg-data-center/,romania,brasov,romarg-data-center
https://www.datacentermap.com/italy/rome/roma-tor-cervara/,italy,rome,roma-tor-cervara
https://www.datacentermap.com/luxembourg/luxembourg/root/,luxembourg,luxembourg,root
https://www.datacentermap.com/sweden/vilhelmina/rootcom/,sweden,vilhelmina,rootcom
